Target,Train_R2,Test_R2,Test_RMSE,Test_MAE
drag_reduction,0.9633017332767474,0.904225128988972,0.5613867700129871,0.43378966899484656
biofouling,0.9966347702523464,0.9869698290012331,0.018264360392543973,0.013174872092034995
